1664236800000,7.942,8.06,7.906,7.992,414024.41
1664240400000,7.99,8.134,7.99,8.042,749855.1
1664244000000,8.041,8.19,8.007,8.149,624809.23
1664247600000,8.149,8.255,8.135,8.197,728578.17
1664251200000,8.198,8.325,8.183,8.267,680339.28
1664254800000,8.268,8.399,8.245,8.336,425854.55
1664258400000,8.335,8.38,8.277,8.335,403869.64
1664262000000,8.335,8.348,8.221,8.225,560879.5
1664265600000,8.225,8.254,8.195,8.223,232466.14
1664269200000,8.222,8.266,8.176,8.209,215926.95
1664272800000,8.211,8.3,8.197,8.281,196592.66
1664276400000,8.281,8.334,8.21,8.228,367878.94
1664280000000,8.228,8.355,8.218,8.298,307009.11
1664283600000,8.298,8.388,8.24,8.334,358463.4
1664287200000,8.342,8.358,8.281,8.303,339523.72
1664290800000,8.305,8.307,8.11,8.126,507219.07
1664294400000,8.127,8.168,7.77,7.852,1365878.62
1664298000000,7.851,7.892,7.651,7.708,674085.8
1664301600000,7.707,7.813,7.658,7.793,426047.57
1664305200000,7.793,7.819,7.729,7.777,331675.08
1664308800000,7.78,7.788,7.707,7.766,260991.81
1664312400000,7.767,7.972,7.754,7.95,642166.45
1664316000000,7.949,8.154,7.883,8.121,844935.05
1664319600000,8.122,8.149,8.037,8.056,259695.81
1664323200000,8.056,8.334,8.01,8.272,852350.27
1664326800000,8.277,8.427,8.128,8.225,839324.68
1664330400000,8.225,8.226,7.887,8.071,1133949.77
1664334000000,8.072,8.137,7.993,8.064,481380.19
1664337600000,8.064,8.086,7.966,7.999,446417.39
1664341200000,7.999,8.042,7.916,8.035,395567.18
1664344800000,8.034,8.098,7.978,8.002,351774.46
1664348400000,8.003,8.064,7.807,7.974,786539.13
1664352000000,7.974,7.985,7.868,7.88,318997.42
1664355600000,7.88,7.921,7.806,7.894,269418.61
1664359200000,7.895,8.147,7.858,8.078,794423.45
1664362800000,8.08,8.181,8.028,8.103,357276.21
1664366400000,8.103,8.226,8.044,8.176,312707.18
1664370000000,8.175,8.409,8.124,8.388,889572.99
1664373600000,8.389,8.54,8.332,8.375,1994243.87
1664377200000,8.376,8.422,8.058,8.204,1698828.23
1664380800000,8.205,8.214,7.885,7.956,1447683.83
1664384400000,7.955,8.022,7.853,7.959,462790.89
1664388000000,7.96,8.0,7.878,7.901,505784.73
1664391600000,7.902,7.97,7.851,7.901,294640.08
1664395200000,7.903,7.981,7.833,7.896,320675.06
1664398800000,7.896,7.919,7.82,7.832,242329.46
1664402400000,7.833,7.867,7.722,7.86,525852.17
1664406000000,7.86,7.93,7.773,7.795,294420.57
1664409600000,7.795,7.836,7.637,7.659,582813.76
1664413200000,7.658,7.801,7.65,7.773,617698.45
1664416800000,7.774,7.792,7.693,7.748,309470.01
1664420400000,7.747,7.774,7.697,7.769,282754.36
1664424000000,7.77,7.799,7.738,7.769,163741.25
1664427600000,7.77,7.817,7.708,7.743,229994.5
1664431200000,7.742,7.756,7.686,7.705,231211.51
1664434800000,7.708,7.719,7.637,7.69,344446.56
1664438400000,7.689,7.775,7.664,7.774,199057.0
1664442000000,7.773,7.828,7.744,7.797,212057.25
1664445600000,7.799,7.814,7.737,7.756,195504.91
1664449200000,7.753,7.802,7.722,7.777,186425.69
1664452800000,7.778,7.794,7.57,7.681,704974.99
1664456400000,7.683,7.74,7.58,7.679,456411.64
1664460000000,7.674,7.886,7.626,7.806,790291.56
1664463600000,7.808,7.868,7.756,7.767,247241.21
1664467200000,7.767,7.883,7.761,7.796,335201.6
1664470800000,7.798,7.842,7.739,7.75,181288.58
1664474400000,7.75,7.832,7.736,7.772,209290.39
1664478000000,7.775,7.86,7.775,7.839,143233.58
1664481600000,7.841,7.902,7.839,7.902,167691.08
1664485200000,7.899,7.949,7.83,7.84,578473.54
1664488800000,7.84,7.909,7.816,7.838,184119.73
1664492400000,7.839,7.927,7.836,7.899,133459.27
1664496000000,7.904,7.919,7.782,7.851,294927.01
1664499600000,7.849,7.854,7.786,7.835,126067.52
1664503200000,7.837,7.84,7.775,7.802,131125.97
1664506800000,7.803,7.84,7.776,7.804,117494.32
1664510400000,7.802,7.824,7.778,7.804,113789.75
1664514000000,7.805,7.845,7.795,7.839,61705.39
1664517600000,7.839,7.868,7.826,7.844,108943.25
1664521200000,7.847,7.902,7.847,7.869,140447.88
1664524800000,7.869,7.885,7.82,7.869,82521.76
1664528400000,7.866,7.874,7.811,7.824,87272.39
1664532000000,7.822,7.833,7.722,7.743,226150.2
1664535600000,7.742,7.757,7.67,7.682,160847.36
1664539200000,7.679,7.756,7.628,7.69,446899.45
1664542800000,7.691,7.753,7.649,7.744,247056.2
1664546400000,7.747,7.823,7.701,7.795,382317.49
1664550000000,7.794,7.862,7.67,7.685,638192.98
1664553600000,7.685,7.73,7.633,7.695,460417.59
1664557200000,7.695,7.737,7.593,7.624,476120.39
1664560800000,7.624,7.666,7.576,7.587,182751.4
1664564400000,7.591,7.645,7.505,7.522,296456.91
1664568000000,7.522,7.612,7.515,7.548,320589.29
1664571600000,7.546,7.588,7.535,7.566,143458.95
1664575200000,7.564,7.577,7.517,7.57,127615.26
1664578800000,7.57,7.604,7.547,7.585,215912.39
1664582400000,7.584,7.615,7.542,7.567,187487.77
1664586000000,7.57,7.586,7.538,7.583,184078.04
1664589600000,7.585,7.629,7.571,7.623,74683.35
1664593200000,7.624,7.646,7.597,7.635,96974.62
1664596800000,7.637,7.638,7.576,7.595,120176.12
1664600400000,7.597,7.619,7.558,7.601,81625.26
1664604000000,7.6,7.6,7.558,7.569,118799.57
1664607600000,7.569,7.616,7.537,7.605,93840.85
1664611200000,7.606,7.626,7.597,7.603,70848.88
1664614800000,7.604,7.636,7.59,7.618,107990.51
1664618400000,7.619,7.637,7.598,7.62,51995.67
1664622000000,7.621,7.622,7.557,7.59,79844.49
1664625600000,7.589,7.594,7.533,7.561,81744.39
1664629200000,7.561,7.585,7.521,7.535,154854.97
1664632800000,7.536,7.545,7.51,7.524,110212.45
1664636400000,7.525,7.559,7.51,7.558,97639.55
1664640000000,7.557,7.559,7.415,7.447,492675.81
1664643600000,7.445,7.451,7.329,7.372,377470.55
1664647200000,7.371,7.408,7.327,7.397,253820.47
1664650800000,7.397,7.402,7.353,7.387,195611.66
1664654400000,7.384,7.384,7.313,7.377,194078.08
1664658000000,7.376,7.404,7.365,7.39,88839.08
1664661600000,7.39,7.4,7.372,7.388,70156.39
1664665200000,7.388,7.402,7.374,7.394,47032.02
1664668800000,7.393,7.433,7.385,7.411,98574.56
1664672400000,7.411,7.489,7.37,7.481,337136.73
1664676000000,7.48,7.484,7.436,7.449,88980.41
1664679600000,7.449,7.473,7.443,7.471,53709.08
1664683200000,7.472,7.51,7.469,7.508,53507.05
1664686800000,7.508,7.509,7.492,7.502,24768.99
